username,comment,date,like_count
@iyinij,"GILAAAA, bahkan game onic btr aja ga seseru ini, btr geek atau semua match tim papan atas bahkan semua match rrq season ini sih ini paling seru aslii walaupun bukan assassin vs assassin tpi gila sih",1 month ago (edited),194
@yeyenkantari2865,"Sutsujin mmng g ada obat. Skylar ttp yg jdi panutan, idok,rinz,dyrenn keren bisa lgsg klop sm team.. pkok thn ini season nya RRQ . Respect. Mskpun sy jagoin Evos",1 month ago,364
@wtfmaddox2,"Respect sutsujin from nothing to something.
Telah berhasil melawan king kairi dgn proses yg tidak mudah",1 month ago,97
@farhanihsanudin.azazel,"Match berkelas, mau siapapun yang menang dua-duanya GG gimang . Mau nonton langsung tapi kehabisan tiket ",1 month ago,150
@RuyanAyuba,Gila Sih Sutsujin semoga Konsisten Truss RRQ,1 month ago,76
@24_mutsaqqofzaki86,match adu serangan. Sutsujin kelas bgt maennya,1 month ago,126
@afrinaldiano,"perhatiin gerakan bibir coach Khezcute sebelum pick ruby, dia ngomong “gatotkaca pasti” dan bener predictnya last pick onic gatotkaca ",1 month ago (edited),43
@TAKA-fw8pn,"top 5 alasan onic
1. tunggu playoff.
2. tunggu Albert main.
3. tunggu coach yeb main
4. tunggu adi nge tweet
5. tunggu kiris",1 month ago,82
@ardhyyessa05_97,"Tergiang ngiang kairi mau savage juga , tapi sutsujin msh lebih ngeri mekanik nya..",1 month ago,52
@muhamad_anggara15,sutsujin di team yg tepat ganas bgt coy gokil ,1 month ago,22
@ismailmarzuki4761,"Semua itu pasti akan ada masanya.. tim papan atas pun harus merasakan pahitnya jadi papan bawahh.. 
Mengejar ketertinggalan itu lebih baik dari pada mempertahankan.
Sebab mengejar itu pasti mencari celah dan jalan kelemahan lawan untuk melampaui persaingan.",1 month ago,24
@asuyuti-pi7fh,Sutsujin emang ngeri... di RRQ bukan cuma Skylar yg jago tapi rata² team RRQ jago ,1 month ago,4
@ikana3574,24:26 epic moment sisa jungle dua duanya mantap merinding nontonnya,1 month ago,8
@mriefqihidayat7483,"Saran sih buat pulung, ga usah maksain ngomong cepet, jadinya belibet ga jelas ngomong apa. Contoh caster English on point banget apa yg diomongin ga ngurangin keseruan in game",1 month ago,1
@ir8124,Keren bgt sengit rrq vs onic ... Sering2 gini donk tim lain,1 month ago,11
@RRQ.Kakek-muda,"Busettt..baru pembukaan leg ke 2 rrq..
    Udah berasa nonton grand final..!
   Trima kasih buat onic dan rrq..dh memberikan tontonan yg membuat senam jantung..",1 month ago,1
@boomberfive9831,"Ngerinya pas play off ntar kayak BTR, semoga RRQ selalu konsisten sampe juara",1 month ago,3
@anandaardianpratama2240,Ujin ini hobbynya ngasih de javu buat kingdom soal albob kemarin roger savage sekarang ling yang sangat licin good job ujin,1 month ago,2
@caayaummil,Gila masuk sutsujin langsung rombak tim dan hasilnya langsung keliatan wkwkwkw,1 month ago,7
@trigunanto0856,"entah cuman gua doang atau gimana ya..sutsujin tiap menang lawan onic, pasti senyum sumringah gitu lho dari leg 1 dan leg 2 ini..kalian pada ngeh gak sih ges?atau match lain juga senyum sumringah lawan tim lain?",1 month ago,1
@yogaxinovi5589,"Ingat kata Prof. KB : ""Ketika tim anda divoting oleh Pak Pulung, itu berarti tim anda sedang tidak baik-baik saja.""",1 month ago,143
@zaenalowexa7926,"Padahal Udah 1 Minggu lebih yang lalu Pertandingan ini, Tapi, Gak pernah Bosan Untuk mengulang dan mengulang lagi, War antara 2 Guild kelas atas ini. Semangat Untuk Kalian Menuju M series.",1 month ago,0
@diyantv1755,"Game 1 game paling gila sich, setelah final season 6 baru ini sampe merinding lg.",1 month ago,44
@IchsanJs12,"SINGKAT, PADAT, GELOOO . Match tergila di season ini, thank untuk kedua team yg sudah memberika match tergila untuk kita, 25 menit full di buat merinding terus ",1 month ago,0
@rifqifircold4682,7:00,1 month ago,345
@nurulafida7500,Gila sih tarik ulurnya RRQ pas war selalu bikin moment sedangkan kalo udah mode ganyang selalu menang war terus. GG RRQ,1 month ago,0
@febribiha1004,Gelo sittsujin di luar prediksi BMKG,1 month ago,18
@Cilcilacila,"Baru kali ini gua nonton sampe teriak teriak saking ikut tegangnya, ini baru namanya war",1 month ago,1
@Prunull24,"Taun taun kmaren onic sllu mnang lawan siapa pun,,,jdi agak bosen karna udah ktebak .tpi taun, Ini akhir nya ada yg berkmbang beri perlawan nan sengit....jdi asik nonton nya,",1 month ago,5
@Huntingvilla,"Ini pertandingan yg aku ulang ulang tonton dan gak pernah bosan 
Sangat asik dan elit 
Aku suka rrq karna lemon dan sutsujin",1 month ago,0
@feibocilreplay1603,"alasan onic kalah:
1. tunggu playoff.
2. tunggu Albert main.
3. tunggu coach yeb main
4. tunggu adi nge tweet
5. tunggu kiris",1 month ago,9
@aksanansatsu7799,"RRQ season ini ngeri bgt, mudah""an ttp improve dan bsa mempertahankan di season"" mendatang. #viva_RRQ",1 month ago,0
@unregistered07,"Jokes caster mantab juga 
KB : bentar2 ada telpon dari AP Bren 
Pak Pulung : itu yang nelpon AP Bren apa AE Bren 
satt lah ",1 month ago (edited),10
@Rhiiyooo619,"Alhamdulilah poin penuh lagi & tetetp tempel BTR. semoga next match bisa mengatasi perlawanan BTR 

keep fighting Hoshi, sebisa mungkin harus selalu improve di tiap matchnya. semoga hasil baik selalu bersama Hoshi di sisa musim ini. VIVA RRQ ",1 month ago,0
@wtfmaddox2,8:20 di ingame momentum rrq kombek ,1 month ago,11
@dianpakao8189,Gua yakin di Indonesia fans paling banyak tetap RRQ mau di bawah klasemen mau di atas klasemen tetap paling banyak fans nya RRQ dari semua team .,1 month ago,1
@SitiMariyah-k1z,"Kata kata lucu hari ini
MPL Arena adalah taman bermain sans
Giliran kalah gk ad onic kairi
Nah udh ad onic kairi masa klh lgi",1 month ago,7
@Benedetta619,"Terkahir gw ingat match seseru ini itu S9 RRQ vs Aura, akhirnya nemu match terseru lagi di mpl setelah sekian lama",1 month ago,1
@ajigamingproject6864,Ini baru match seru.. gw dukung onic tapi gw suport banget kalau RRQ naik daun.. biar nyata aja persaingan nya,1 month ago,33
@JojoMaru-e5u,"Match yg paling gila season ini...
Ga ada yang mengecewakan!",1 month ago,1
@gandi9929,"Entertain banget, class semua player 2 team ini",1 month ago,3
@YouKnow-y4g,Dari segi agresif lebih ke onic tapi cara bertahan rrq juga tidak bisa diremehkan kairi berhasil membuktikan omonganya yang akan lebih agresif dari jungle lawan dan sutsujin juga mampu mengatasi ke agresifan mereka dengan moment yang menguntungkan,1 month ago,0
@ZENNN-28,Tetap konsisten yah RRQ ,1 month ago,6
@dadanmandala2266,"Mentalnya ngeri....tower abis bisa jdi menang...gila sih tim ini  skylar menyala, user ling jg mainnya madep sabar tunggu momment...yg lainnya jg keren",1 month ago,0
@cobra1970,Udah jelas banget skylar goldlane terbaik di indo,1 month ago,82
@penguasakegelapan-j9d,"bener' seru kalo rrq vs onic, 𝗥𝗧𝗣𝟴𝟬𝟬𝟬 selalu suport kalian semua",1 month ago,0
@Mbah_nunuk,36:49 build dan emblem ling sutsujin,1 month ago,5
@salsabilongchannel6741,Skylarnya jago. 4 vs 5 sedangkan sutsujin fokus split push keren,1 month ago,2
@cucukakek6258,mm terbaik memang skyllar fix....,1 month ago,27
@ToleKirun,"masukan buat mpl sih itu suara comentar mlnya yang forst blood, doble kill sampe savage agak di kerasin dikit... 

soalnya seperti tensinya lebih bagus aja...",2 weeks ago,0
@RimuruTempest768,27:24 ngegebuk angin gara² gak nyampe,1 month ago,37
@Dopenewtxn,"Kalau udh ada tim yg bisa Ngalahin Onic..berarti ada perkembangan Esport MLBB indo ,Semoga season ini ada Juara Baru",1 month ago,0
@AhmadYani-tl8qp,Licin bangett Sutsujin ,1 month ago,3
@yohandj8608,Tambah cinta RRQ. pokoknya the best,1 month ago,2
@IyanD20,Sumpah ini match paling panas sih daripada tim2 lain gelo ,1 month ago,4
@usikusikasik2704,"Jangan pernah lupa kata kiboy ""kalau kalah gak ada alasan ! "" ",1 month ago,1
@voidaablanc,"RRQ bisa buktikan kalau player full Indo juga ga kalah kuat, ga kayak kemarin beli 2 PH malah terancam ga lolos playoff, lolos pun pulang paling awal. Udah paling bener buat RRQ full indo, RRQ ga butuh player PH maupun coach dari PH. Kuncinya chemistrry sama coach Khezcute",1 month ago,4
@yogapriandanisulton4432,"10:02 “Lebih tepatnya kalau tim anda di voting sama pak pulung, tim anda sedang tidak baik-baik saja” ",1 month ago (edited),1
@moa_kikuchi99,20:38 GG,1 month ago (edited),41
@zkaz8123,kangen ce momo yg ngecaster klo game seru gini..,1 month ago,6
@leonardodameri5041,"@MPL ID : tolong dong min 
Kalau ada match2 besar yg tegang begini 
Duetin lagi min pak pulung lim kocul sama kb 
Karna menurutku trio ini bagus banget dalam membawa suasana para penonton lebih tegang dan lebih seru dalam menonton pertandingan tersebut 
Dapat banget bikin merinding jugaa 
Nge castnya bagus lah bawain hype kedalam penonton juga jadi penonton jadi pengen stay terus 
POV merinding dari ku ketika RRQ vs onic di game 1 
Aku merinding denger lim kocul dan pak pulung ucapkan kata wipe out 
Saat rrq menang di menit 25 itu gatau merinding aja ",1 month ago,0
@fajrifajri7183,sekarang udah gak ada alasan lagi buat fans fanatic onic karena kairi udah main,1 month ago,3
@ALRizky666,"Gila sih match nya, war terus menerus. Match ini rasanya seperti tidak pantas berada di reguler season.",1 month ago,1
@SWherb,20:48   sutsujin edaaaan,1 month ago,10
@Bilaljaeger,"mental rrq sih berkelas banget cok, mental haus juara nya bener² ini rrq, di early diganyang habis²an padahal, rogernya aja udh snowball banget tapi Alhamdulillah masih bisa menang",1 month ago (edited),0
@MrP4nn15,Lokal pride ni bos gg rrq,1 month ago,44
@crymorest2152,"Menang dipuji, kalah dihina, seperti itulah yg katanya ""FANS"".",1 month ago,2
@azizinfo06,Jir malem2 udah dingin ditambah dingin sama King RRQ,1 month ago (edited),47
@sedikittau8406,"RRQ itu nafas bagi YouTube MPL ID. Coba klo GX percaya scrol aja. Team mana yg bertanding yg menghasilkan view terbanyak klo bukan RRQ.  Match RRQ vs FONIC leg 2 ini aja udh 1 juta view 
Dan RRQ vs BTR bakalan nyusul ke 1 juta View. 

Coba klo RRQ semisal GX ada di MPL ID. Pasti sepi penonton ",1 month ago,0
@DUKE_of_Arrakis,The best match ever,1 month ago,7
@RanaDwi,Plis kalu RRQ maen komentatornya jangan Kroco semua. Kasik profesional 1 seperti Bapak Wawa. Terimakasih,1 month ago,2
@Keizi.toretto,Ingat kata kiboy gak ada alasan kalo kalah,1 month ago,838
@agamfebriyanu2070,"siapapun yang menang, mereka tetep juara dgn kasih gameplay indah",1 month ago,0
@dmnyou5776,Albert full senyum ,1 month ago,3
